Sectors,Fund %,Category %
Basic Materials,7.51,8.32
Consumer Cyclical,11.60,12.42
Financial Services,24.78,25.47
Real Estate,3.17,3.21
Communication Services,4.67,3.07
Energy,7.56,6.93
Industrials,4.83,6.34
Technology,23.71,22.24
Consumer Defensive,7.02,6.94
Healthcare,2.49,2.34
Utilities,2.66,2.72
