,Values
NAV,"12,391.03"
Open Price,"12,310.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"57.0 / 2,276.8"
Day Range,"12,235.00 – 12,330.00"
Year Range,"12,235.00 – 14,820.00"
SEC Yield ,—
12-Month Yield ,2.67%
Premium ,—
Expense Ratio,0.330%
Total Assets,7.4 Bil
