,Fund,Cat. Average,Index
Price/Earnings ,30.02,20.30,17.09
Price/Book ,4.54,2.56,3.38
Price/Sales ,5.28,2.04,1.97
Price/Cash Flow ,30.71,11.25,13.35
Dividend Yield % ,0.17,0.89,1.91
Long-Term Earnings % ,18.87,10.45,9.35
Historical Earnings % ,-6.78,15.68,13.99
Sales Growth % ,7.88,9.13,5.37
Cash-Flow Growth % ,9.15,2.14,-2.79
Book-Value Growth % ,9.31,7.67,3.73
