,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.15,5.05,-17.38,-27.07,-35.96,—,—,—,—,—,—
Total Return % (NAV),-1.23,4.72,-17.38,-26.67,-35.98,—,—,—,—,—,-33.42
+/- Category (NAV),-1.59,3.01,-11.74,-17.67,-32.02,—,—,—,—,—,—
+/- Index (NAV),-0.60,2.76,-16.58,-29.76,-44.17,—,—,—,—,—,—
