,Values
NAV,"7,276.81"
Open Price,"7,290.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"58.0 / 1,735.5"
Day Range,"7,260.00 – 7,330.00"
Year Range,"6,690.00 – 12,025.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.460%
Total Assets,2.3 Bil
