,Fund,Category,Index
U.S.Stock,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,—
Bonds,95.38,92.09,—
Other,0.00,0.18,—
Cash,4.62,23.76,—
Not Classified,0.00,0.00,—
