,Values
NAV,"104,646.30"
Open Price,"104,805.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"15,960.0 / 41,544.3"
Day Range,"104,675.00 – 104,805.00"
Year Range,"100,620.00 – 104,975.00"
SEC Yield ,—
12-Month Yield ,3.11%
Premium ,—
Expense Ratio,0.090%
Total Assets,61.1 Bil
