,Values
NAV,"9,663.17"
Open Price,"9,735.00"
Bid / Ask / Spread,"9,755.00 / 0.00 / 0.00%"
Volume / Avg,"15,298.0 / 12,669.0"
Day Range,"9,735.00 – 9,805.00"
Year Range,"7,885.00 – 13,585.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.770%
Total Assets,5.3 Bil
