,Values
NAV,"8,164.70"
Open Price,"8,130.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"159.0 / 5,436.1"
Day Range,"8,115.00 – 8,170.00"
Year Range,"7,975.00 – 10,250.00"
SEC Yield ,—
12-Month Yield ,2.20%
Premium ,—
Expense Ratio,0.280%
Total Assets,19.2 Bil
