,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-18.64,-7.12
Fund (NAV),—,—,—,—,—,—,—,—,—,-18.66,-7.19
+/ Category (NAV),—,—,—,—,—,—,—,—,—,-1.98,-2.41
+/- Index (Price),—,—,—,—,—,—,—,—,—,-1.01,-7.79
Percentile Rank,—,—,—,—,—,—,—,—,—,75,79
# of Funds in Category,—,—,—,—,—,—,—,—,"2,058","2,015","2,325"
