,Values
NAV,"8,535.07"
Open Price,"8,520.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"927,467.0 / 34,120.7"
Day Range,"8,475.00 – 8,520.00"
Year Range,"8,295.00 – 10,680.00"
SEC Yield ,—
12-Month Yield ,1.89%
Premium ,—
Expense Ratio,0.290%
Total Assets,46.1 Bil
