,Fund,Cat. Average,Index
Price/Earnings ,14.05,13.31,—
Price/Book ,1.14,0.99,—
Price/Sales ,0.59,0.52,—
Price/Cash Flow ,6.02,3.85,—
Dividend Yield % ,1.50,2.16,—
Long-Term Earnings % ,15.34,15.19,—
Historical Earnings % ,19.72,35.81,—
Sales Growth % ,9.45,2.99,—
Cash-Flow Growth % ,2.49,2.81,—
Book-Value Growth % ,4.65,1.55,—
