,Values
NAV,"7,763.67"
Open Price,"7,595.00"
Bid / Ask / Spread,"6,935.00 / 8,460.00 / 19.81%"
Volume / Avg,"6,190.0 / 27,446.2"
Day Range,"7,595.00 – 7,695.00"
Year Range,"7,245.00 – 10,380.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.540%
Total Assets,18.6 Bil
