,Values
NAV,"10,129.18"
Open Price,"10,050.00"
Bid / Ask / Spread,"9,210.00 / 10,230.00 / 10.49%"
Volume / Avg,"31,548.0 / 125,281.9"
Day Range,"10,050.00 – 10,165.00"
Year Range,"6,305.00 – 10,750.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.670%
Total Assets,3.0 Bil
