,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,4.81,—
Non-U.S.Stock,-100.07,100.07,0.00,5.39,—
Bonds,10.24,0.00,10.24,12.48,—
Other,0.00,0.00,0.00,19.44,—
Cash,189.83,0.00,189.83,78.62,—
Not Classified,0.00,0.00,0.00,0.77,—
