,Values
NAV,"50,599.06"
Open Price,"50,605.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"500.0 / 1,651.9"
Day Range,"50,605.00 – 50,610.00"
Year Range,"50,015.00 – 50,900.00"
SEC Yield ,—
12-Month Yield ,1.75%
Premium ,—
Expense Ratio,0.090%
Total Assets,442.8 Bil
