,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.00,—
Bonds,44.50,0.00,44.50,29.68,—
Other,0.00,0.00,0.00,0.01,—
Cash,55.50,0.01,55.51,73.37,—
Not Classified,0.00,0.00,0.00,0.00,—
