,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),1.15,2.05,7.77,10.90,15.61,17.32,—,—,—,—,—
Total Return % (NAV),-0.37,1.24,6.76,10.07,13.89,15.68,—,—,—,—,5.35
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
