,Values
NAV,"19,554.65"
Open Price,"19,500.00"
Bid / Ask / Spread,"19,385.00 / 19,495.00 / 0.57%"
Volume / Avg,6.0 / 11.1
Day Range,"19,500.00 – 19,500.00"
Year Range,"19,180.00 – 22,880.00"
SEC Yield ,—
12-Month Yield ,1.91%
Premium ,—
Expense Ratio,0.410%
Total Assets,7.8 Bil
