,Fund,Cat. Average,Index
Price/Earnings ,7.71,11.02,12.13
Price/Book ,0.72,0.84,0.86
Price/Sales ,0.47,0.53,0.65
Price/Cash Flow ,3.27,3.46,3.66
Dividend Yield % ,3.29,3.08,3.48
Long-Term Earnings % ,12.21,10.07,3.69
Historical Earnings % ,4.28,15.26,14.88
Sales Growth % ,1.21,11.25,4.89
Cash-Flow Growth % ,3.10,16.83,15.05
Book-Value Growth % ,4.82,10.86,8.56
