,Values
NAV,"10,309.96"
Open Price,"10,300.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"5,922.0 / 18,602.0"
Day Range,"10,225.00 – 10,300.00"
Year Range,"10,045.00 – 10,445.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.310%
Total Assets,11.3 Bil
