,Values
NAV,"26,264.92"
Open Price,"26,035.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,1.0 / 54.0
Day Range,"26,035.00 – 26,035.00"
Year Range,"26,035.00 – 30,820.00"
SEC Yield ,—
12-Month Yield ,2.72%
Premium ,—
Expense Ratio,0.430%
Total Assets,6.5 Bil
