,Fund,Cat. Average,Index
Price/Earnings ,7.25,11.02,12.13
Price/Book ,0.67,0.84,0.86
Price/Sales ,0.38,0.53,0.65
Price/Cash Flow ,2.99,3.46,3.66
Dividend Yield % ,3.20,3.08,3.48
Long-Term Earnings % ,13.60,10.07,3.69
Historical Earnings % ,2.05,15.26,14.88
Sales Growth % ,1.72,11.25,4.89
Cash-Flow Growth % ,-1.68,16.83,15.05
Book-Value Growth % ,4.65,10.86,8.56
