Sectors,Fund %,Category %
Basic Materials,9.27,8.70
Consumer Cyclical,17.07,13.65
Financial Services,15.86,11.56
Real Estate,0.00,0.29
Communication Services,4.76,2.34
Energy,3.12,1.96
Industrials,11.31,10.46
Technology,29.88,38.20
Consumer Defensive,4.01,6.64
Healthcare,0.41,4.97
Utilities,4.31,1.23
