,Values
NAV,"10,507.65"
Open Price,"10,420.00"
Bid / Ask / Spread,"9,360.00 / 11,405.00 / 19.70%"
Volume / Avg,"1,705.0 / 5,865.7"
Day Range,"10,355.00 – 10,455.00"
Year Range,"9,550.00 – 19,750.00"
SEC Yield ,—
12-Month Yield ,0.17%
Premium ,—
Expense Ratio,0.470%
Total Assets,6.2 Bil
