,Values
NAV,"8,746.26"
Open Price,"8,700.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"229,106.0 / 17,077.2"
Day Range,"8,575.00 – 8,700.00"
Year Range,"8,575.00 – 10,035.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.270%
Total Assets,11.8 Bil
