,Fund,Cat. Average,Index
Price/Earnings ,8.20,11.02,12.13
Price/Book ,0.66,0.84,0.86
Price/Sales ,0.42,0.53,0.65
Price/Cash Flow ,4.39,3.46,3.66
Dividend Yield % ,4.39,3.08,3.48
Long-Term Earnings % ,10.45,10.07,3.69
Historical Earnings % ,2.66,15.26,14.88
Sales Growth % ,6.87,11.25,4.89
Cash-Flow Growth % ,-14.22,16.83,15.05
Book-Value Growth % ,6.50,10.86,8.56
