,Values
NAV,"102,480.38"
Open Price,"102,485.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"8,788.0 / 108,607.8"
Day Range,"102,485.00 – 102,540.00"
Year Range,"100,845.00 – 102,550.00"
SEC Yield ,—
12-Month Yield ,1.66%
Premium ,—
Expense Ratio,0.180%
Total Assets,85.1 Bil
