,Values
NAV,"3,871.39"
Open Price,"3,820.00"
Bid / Ask / Spread,"3,425.00 / 4,185.00 / 19.97%"
Volume / Avg,"42,161.0 / 12,868.8"
Day Range,"3,790.00 – 3,820.00"
Year Range,"3,445.00 – 5,460.00"
SEC Yield ,—
12-Month Yield ,1.14%
Premium ,—
Expense Ratio,0.560%
Total Assets,4.9 Bil
