,Values
Sustainability Rate,Low
Percent Rank in Global Category,98%
Historical Sustainability Score,37.97
Global Category,Consumer Goods & Services Sector Equity
Portfolio ESG,39.68
Controversy Deduction,1.73
Sustainability Score,37.95
Sustainability Mandate,No
