,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,4.81,—
Non-U.S.Stock,-8.55,8.55,0.00,5.39,—
Bonds,11.40,0.00,11.40,12.48,—
Other,-1.87,1.87,0.00,19.44,—
Cash,99.02,107.54,206.56,78.62,—
Not Classified,0.00,0.00,0.00,0.77,—
