,Values
NAV,"8,824.53"
Open Price,"8,810.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"6,487.0 / 3,885.9"
Day Range,"8,805.00 – 8,850.00"
Year Range,"8,710.00 – 11,105.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.510%
Total Assets,4.4 Bil
