,Fund,Cat. Average,Index
Price/Earnings ,26.17,17.17,20.64
Price/Book ,2.11,2.04,3.84
Price/Sales ,2.37,1.37,2.36
Price/Cash Flow ,16.75,7.78,11.93
Dividend Yield % ,0.69,1.69,1.48
Long-Term Earnings % ,33.57,8.11,10.45
Historical Earnings % ,8.29,12.12,18.19
Sales Growth % ,9.12,7.65,8.61
Cash-Flow Growth % ,-0.90,13.49,16.51
Book-Value Growth % ,13.56,7.62,8.68
