,Values
NAV,"10,495.34"
Open Price,"10,385.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"348.0 / 12,581.0"
Day Range,"10,370.00 – 10,410.00"
Year Range,"9,150.00 – 11,820.00"
SEC Yield ,—
12-Month Yield ,0.39%
Premium ,—
Expense Ratio,0.470%
Total Assets,8.4 Bil
