,Values
Sustainability Rate,Low
Percent Rank in Global Category,92%
Historical Sustainability Score,42.05
Global Category,Technology Sector Equity
Portfolio ESG,41.99
Controversy Deduction,0.15
Sustainability Score,41.84
Sustainability Mandate,No
