,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-21.04,-0.73
Fund (NAV),—,—,—,—,—,—,—,—,—,-20.66,-0.41
+/ Category (NAV),—,—,—,—,—,—,—,—,—,-7.22,-16.26
+/- Index (Price),—,—,—,—,—,—,—,—,—,-13.68,-21.30
Percentile Rank,—,—,—,—,—,—,—,—,—,79,93
# of Funds in Category,—,—,—,—,—,—,—,—,58,243,370
