,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,4.81,—
Non-U.S.Stock,-96.89,96.89,0.00,5.39,—
Bonds,24.22,0.00,24.22,12.48,—
Other,0.00,0.00,0.00,19.44,—
Cash,172.67,5.52,178.19,78.62,—
Not Classified,0.00,0.00,0.00,0.77,—
