,Values
NAV,"7,457.45"
Open Price,"7,430.00"
Bid / Ask / Spread,"7,465.00 / 7,470.00 / 0.07%"
Volume / Avg,9.1 Mil / 10.9 Mil
Day Range,"7,400.00 – 7,470.00"
Year Range,"6,365.00 – 7,580.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.690%
Total Assets,473.5 Bil
