,Fund,Cat. Average,Index
Price/Earnings ,9.20,11.02,12.13
Price/Book ,0.73,0.84,0.86
Price/Sales ,0.35,0.53,0.65
Price/Cash Flow ,3.89,3.46,3.66
Dividend Yield % ,3.12,3.08,3.48
Long-Term Earnings % ,9.72,10.07,3.69
Historical Earnings % ,11.45,15.26,14.88
Sales Growth % ,5.86,11.25,4.89
Cash-Flow Growth % ,1.47,16.83,15.05
Book-Value Growth % ,5.33,10.86,8.56
