,Values
NAV,"7,652.46"
Open Price,"7,655.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,6.0 / 65.9
Day Range,"7,630.00 – 7,655.00"
Year Range,"7,625.00 – 9,495.00"
SEC Yield ,—
12-Month Yield ,2.71%
Premium ,—
Expense Ratio,0.310%
Total Assets,15.3 Bil
