,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-11.52,-12.23
Fund (NAV),—,—,—,—,—,—,—,—,—,-11.60,-11.01
+/ Category (NAV),—,—,—,—,—,—,—,—,—,5.07,-6.14
+/- Index (Price),—,—,—,—,—,—,—,—,—,6.12,-12.73
Percentile Rank,—,—,—,—,—,—,—,—,—,10,93
# of Funds in Category,—,—,—,—,—,—,—,—,"2,058","2,015","2,284"
