,Values
NAV,"10,643.92"
Open Price,"10,535.00"
Bid / Ask / Spread,"10,600.00 / 10,700.00 / 0.94%"
Volume / Avg,466.0 / 102.0
Day Range,"10,535.00 – 10,535.00"
Year Range,"9,820.00 – 12,215.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.480%
Total Assets,10.6 Bil
