Sectors,Fund %,Category %
Basic Materials,46.90,69.29
Consumer Cyclical,0.00,0.06
Financial Services,0.00,1.07
Real Estate,1.18,0.03
Communication Services,0.00,0.00
Energy,29.50,28.03
Industrials,2.57,0.86
Technology,0.00,0.00
Consumer Defensive,15.77,0.54
Healthcare,0.00,0.00
Utilities,4.07,0.11
