,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,-14.62,53.78,-16.95,-27.62
Fund (NAV),—,—,—,—,—,—,—,-13.99,53.35,-16.78,-26.59
+/ Category (NAV),—,—,—,—,—,—,—,-5.50,30.69,1.36,-17.16
+/- Index (Price),—,—,—,—,—,—,—,-2.74,34.98,-5.07,-12.57
Percentile Rank,—,—,—,—,—,—,—,79,2,44,94
# of Funds in Category,—,—,—,—,—,—,218,256,272,369,476
