,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.35,4.14,-16.11,-24.25,-27.62,-31.54,-6.20,—,—,—,—
Total Return % (NAV),0.23,2.76,-14.85,-25.18,-26.59,-33.27,-5.87,—,—,—,-4.76
+/- Category (NAV),0.17,0.86,-5.18,-11.65,-17.16,-13.74,-0.59,—,—,—,—
+/- Index (NAV),0.29,1.86,-4.36,-9.30,-11.53,-13.45,1.58,—,—,—,—
