,Values
NAV,"8,647.46"
Open Price,"8,540.00"
Bid / Ask / Spread,"8,595.00 / 8,600.00 / 0.06%"
Volume / Avg,4.9 Mil / 5.8 Mil
Day Range,"8,470.00 – 8,590.00"
Year Range,"7,895.00 – 14,510.00"
SEC Yield ,—
12-Month Yield ,1.58%
Premium ,—
Expense Ratio,0.280%
Total Assets,668.9 Bil
