,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),38.18,33.48,-6.22,5.20,1.50,-3.26,6.92,13.97,25.08,-15.58,-0.47
Fund (NAV),36.62,33.24,-5.87,4.82,1.88,-3.39,6.84,13.93,25.53,-15.53,0.76
+/ Category (NAV),-18.76,10.29,4.84,-2.16,0.77,1.69,2.82,13.24,3.06,1.15,5.53
+/- Index (Price),-22.09,11.26,2.35,-9.13,-1.02,3.89,9.74,0.15,-7.15,2.05,-1.13
Percentile Rank,97,5,13,68,37,30,32,1,33,27,5
# of Funds in Category,813,996,"1,539","1,737","1,779","1,796","2,103","2,012","2,058","2,015","2,325"
