,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.18,-2.46,-7.27,-8.06,-0.47,-3.35,2.82,3.52,4.88,—,—
Total Return % (NAV),-0.76,-1.84,-6.33,-8.67,0.76,-3.30,3.26,3.83,5.03,—,3.69
+/- Category (NAV),-0.81,-1.66,0.70,-0.71,5.53,10.43,4.31,4.56,2.61,—,—
+/- Index (NAV),-1.08,-1.20,-0.38,-4.20,0.09,7.09,-1.17,1.22,-0.15,—,—
