,Fund,Cat. Average,Index
Price/Earnings ,17.46,13.31,—
Price/Book ,1.98,0.99,—
Price/Sales ,3.14,0.52,—
Price/Cash Flow ,15.29,3.85,—
Dividend Yield % ,0.53,2.16,—
Long-Term Earnings % ,46.54,15.19,—
Historical Earnings % ,12.59,35.81,—
Sales Growth % ,13.30,2.99,—
Cash-Flow Growth % ,4.90,2.81,—
Book-Value Growth % ,10.99,1.55,—
