,Values
Sustainability Rate,Low
Percent Rank in Global Category,91%
Historical Sustainability Score,40.06
Global Category,Other Equity
Portfolio ESG,40.19
Controversy Deduction,0.05
Sustainability Score,40.14
Sustainability Mandate,No
