,Values
NAV,"8,369.81"
Open Price,"8,270.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"179.0 / 7,261.2"
Day Range,"8,185.00 – 8,270.00"
Year Range,"7,775.00 – 10,250.00"
SEC Yield ,—
12-Month Yield ,0.49%
Premium ,—
Expense Ratio,0.510%
Total Assets,7.5 Bil
