Sectors,Fund %,Category %
Basic Materials,7.54,9.92
Consumer Cyclical,10.21,18.02
Financial Services,11.45,11.34
Real Estate,0.00,2.30
Communication Services,2.77,2.33
Energy,1.86,1.77
Industrials,9.09,12.04
Technology,44.00,26.05
Consumer Defensive,6.53,9.12
Healthcare,5.27,5.97
Utilities,1.28,1.13
