,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.23,-0.03,-1.59,-0.22,1.16,-0.12,2.22,2.33,—,—,—
Total Return % (NAV),0.06,-0.24,-1.42,-0.52,1.35,-0.51,2.24,2.43,—,—,2.45
+/- Category (NAV),0.04,-0.30,-0.03,0.69,0.95,0.75,1.41,0.97,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
