,Values
NAV,"54,509.19"
Open Price,"54,450.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,302.0 / 227.7
Day Range,"54,405.00 – 54,510.00"
Year Range,"53,715.00 – 56,235.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.270%
Total Assets,16.4 Bil
