,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,0.00
Non-U.S.Stock,30.43,0.00,30.43,26.64,29.07
Bonds,70.00,0.02,70.02,58.62,0.00
Other,0.03,0.00,0.03,0.75,70.15
Cash,-0.46,2.85,2.39,20.82,0.00
Not Classified,0.00,0.00,0.00,1.24,0.78
