,Fund,Cat. Average,Index
Price/Earnings ,9.12,9.22,—
Price/Book ,0.89,0.83,—
Price/Sales ,0.60,0.46,—
Price/Cash Flow ,3.76,3.89,—
Dividend Yield % ,3.01,2.81,—
Long-Term Earnings % ,13.66,5.87,—
Historical Earnings % ,13.52,3.24,—
Sales Growth % ,2.57,1.97,—
Cash-Flow Growth % ,8.93,-5.54,—
Book-Value Growth % ,6.50,6.47,—
