,Values
NAV,"101,241.85"
Open Price,"101,245.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"762.0 / 1,642.2"
Day Range,"101,240.00 – 101,245.00"
Year Range,"100,100.00 – 101,685.00"
SEC Yield ,—
12-Month Yield ,1.58%
Premium ,—
Expense Ratio,0.090%
Total Assets,183.9 Bil
