,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.00,—
Bonds,45.45,0.00,45.45,29.68,—
Other,0.00,0.00,0.00,0.01,—
Cash,54.55,0.01,54.56,73.37,—
Not Classified,0.00,0.00,0.00,0.00,—
