,Values
NAV,"9,465.93"
Open Price,"9,535.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"204.0 / 347,409.0"
Day Range,"9,470.00 – 9,535.00"
Year Range,"9,425.00 – 10,330.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.310%
Total Assets,148.6 Bil
