,Values
Sustainability Rate,Average
Percent Rank in Global Category,39%
Historical Sustainability Score,41.82
Global Category,Korea Equity
Portfolio ESG,49.93
Controversy Deduction,8.11
Sustainability Score,41.82
Sustainability Mandate,No
