,Values
NAV,"11,191.25"
Open Price,"11,160.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,20.0 / 20.5
Day Range,"11,130.00 – 11,160.00"
Year Range,"11,115.00 – 12,645.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.270%
Total Assets,6.7 Bil
