,Values
NAV,"25,559.25"
Open Price,"25,350.00"
Bid / Ask / Spread,"25,480.00 / 25,495.00 / 0.06%"
Volume / Avg,5.0 Mil / 5.4 Mil
Day Range,"25,175.00 – 25,415.00"
Year Range,"25,125.00 – 30,370.00"
SEC Yield ,—
12-Month Yield ,2.27%
Premium ,—
Expense Ratio,0.160%
Total Assets,5.8 Tril
