,Values
Sustainability Rate,Above Average
Percent Rank in Global Category,19%
Historical Sustainability Score,42.52
Global Category,Korea Equity
Portfolio ESG,50.97
Controversy Deduction,8.04
Sustainability Score,42.93
Sustainability Mandate,No
