,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),54.19,23.89,-10.75,11.24,1.09,-6.59,-0.13,10.13,27.06,-17.33,-2.61
Fund (NAV),52.89,23.46,-10.44,11.41,0.86,-6.60,0.22,10.07,27.06,-17.37,-2.39
+/ Category (NAV),-2.50,0.51,0.27,4.43,-0.25,-1.52,-3.79,9.38,4.58,-0.69,2.48
+/- Index (Price),-6.08,1.67,-2.18,-3.09,-1.44,0.56,2.69,-3.69,-5.17,0.31,-3.11
Percentile Rank,39,42,40,16,52,52,64,5,18,50,19
# of Funds in Category,813,996,"1,539","1,737","1,779","1,796","2,103","2,012","2,058","2,015","2,284"
